Hole Number,Blue Tee Lat,Blue Tee Long,Blue Tee Altitude (m),Green Tee Lat,Green Tee Long,Green Tee Altitude (m),Green Front Lat,Green Front Long,Green Front Altitude (m),Green Centre Lat,Green Centre Long,Green Centre Altitude,Green Back Lat,Green Back Long,Green Back Altitude
1,53.1398635,-6.0742006,41.0621371,53.1399117,-6.0743314,41.5323846,53.140358,-6.076184,41.983213,53.1404404,-6.0764183,42.4683425,53.1405413,-6.0765983,42.5358518
2,53.1405757,-6.0773147,45.0286784,53.140655,-6.077277,45.0218995,53.1438669,-6.0760865,27.6563422,53.1439674,-6.076067,27.9283513,53.1440776,-6.0760678,27.867693
3,53.144477,-6.0752372,24.4832109,53.1443547,-6.0752669,24.6674362,53.1414585,-6.0763157,40.0777628,53.1412964,-6.0764005,41.1750466,53.1411752,-6.0765473,41.3721774
4,53.1408856,-6.0759232,38.3511876,53.1410008,-6.0758662,38.6054182,53.1429306,-6.0735146,39.8108496,53.1430164,-6.0732794,40.3495357,53.1430831,-6.0730537,40.1572925
5,53.1435235,-6.0724424,41.8945805,53.143484,-6.0722641,41.9716879,53.1432382,-6.0710889,47.1083174,53.1431419,-6.0709105,48.0792555,53.14304,-6.0706971,48.2875267
6,53.1430438,-6.0715206,53.7829164,53.1430113,-6.071659,53.7541886,53.1411593,-6.0750131,41.2463727,53.1410652,-6.0751401,41.835003,53.1409651,-6.0752565,41.9087951
7,53.1397745,-6.0740319,41.6148043,53.1398526,-6.0740035,41.6148097,53.1417332,-6.0725096,60.3163685,53.1418759,-6.0723468,60.8922196,53.1420156,-6.0722759,60.8731449
8,53.1414175,-6.07247,59.5168877,53.1414487,-6.0723418,59.4646941,53.1426631,-6.068169,30.1081421,53.1427264,-6.0680213,30.7463638,53.1428241,-6.0679272,30.7509542
9,53.1424793,-6.0676107,28.6026052,53.1423665,-6.067774,28.7274551,53.1411224,-6.0725886,54.5673653,53.1410693,-6.0727995,55.1658202,53.1409971,-6.0729831,55.2540067
10,53.1388273,-6.0702641,25.868541,53.1387049,-6.0703033,25.8368342,53.1353739,-6.0700462,18.5688972,53.135267,-6.0698972,18.6583526,53.1351522,-6.0697234,18.6105645
11,53.1355533,-6.0704749,18.8601864,53.1356363,-6.070522,19.1201805,53.1367448,-6.0712801,21.1997954,53.1368623,-6.0714278,21.7978515,53.137001,-6.0714515,22.4431058
12,53.1369841,-6.0721107,23.3778738,53.1369264,-6.0720701,23.3778772,53.1346386,-6.0704687,17.1880368,53.1345146,-6.0705088,17.6672927,53.134362,-6.070496,17.1002358
13,53.1331,-6.0713602,22.3369374,53.1332259,-6.0712863,22.4066279,53.1356012,-6.0726948,21.7199716,53.1357132,-6.0728442,22.0611463,53.1358538,-6.0728989,22.0883608
14,53.13513,-6.0732465,22.3831113,53.1352399,-6.0732672,22.4842442,53.1361753,-6.0731895,22.8186309,53.1362966,-6.0733225,23.4916721,53.1363739,-6.0733467,23.7545613
15,53.1373814,-6.0733112,25.4042077,53.1373287,-6.0732723,25.5529213,53.1335341,-6.0709358,20.9261089,53.133414,-6.0709579,53.1332821,53.1332821,-6.0710665,21.8293998
16,53.1331722,-6.0712129,22.3924839,53.1332805,-6.0714389,22.3761105,53.1331308,-6.0730499,20.7284275,53.1330537,-6.0732645,21.5604424,53.1329742,-6.0734262,22.0791078
17,53.1327084,-6.073763,24.0802221,53.1327397,-6.0737628,23.9642311,53.135719,-6.073787,23.7326905,53.1357964,-6.0737961,24.0914117,53.1358763,-6.0738096,24.0969922
18,53.1361725,-6.073948,24.6673322,53.1362647,-6.073898,24.6673223,53.1384461,-6.0710433,25.0801892,53.1384968,-6.070862,25.2740858,53.1385488,-6.0707336,25.2752483
